alg,size,sec,sdata,speed
binary,300,0.05,143,0
linear,50,0.0571,45,0
linear,50,0.0742,12,0
binary,200,0.00894,150,0
binary,200,0.03604,24,0
linear,200,0.06639,24,0
binary,600,0.02798,300,0
binary,600,0.02547,300,0
linear,20,0.60673,5,0.1
linear,200,0.00643,5,0
binary,100,0.00725,40,0
binary,100,0.61144,40,0.1
binary,100,1.21046,40,0.2
linear,100,0.01315,40,0
linear,100,0.05987,40,0
binary,100,0.0096,40,0
binary,100,1.20991,40,0.2
binary,500,0.08631,465,0
linear,100,3.1484,30,0.1
binary,100,0.01862,30,0
binary,400,0.07258,308,0
binary,400,2.07427,308,0.2
binary,200,0.03326,145,0
linear,100,0.05445,34,0
binary,100,0.0088,34,0
binary,100,1.81121,34,0.3
